transaction_id,customer_id,date,amount,merchant,category,country,is_international,card_type,currency,flagged,year_month,amount_usd,is_outlier
TXN000001,1844,2024-01-16,196.91,"Maldonado, Ballard and Alvarez",Entertainment,India,False,AmEx,INR,False,2024-01,2.36,False
TXN000002,2404,2024-02-19,61.06,Young-Carlson,Travel,Singapore,True,Visa,SGD,False,2024-02,45.18,False
TXN000003,1984,2024-02-08,1584.72,"Obrien, Fuller and Keller",Dining,Germany,True,AmEx,EUR,True,2024-02,1743.19,True
TXN000004,2994,2024-03-17,25.72,Rodriguez-Kelly,Entertainment,USA,False,Visa,USD,False,2024-03,25.72,False
TXN000005,2725,2024-05-30,262.93,"Mcdonald, Nguyen and Sloan",Travel,India,False,MasterCard,INR,False,2024-05,3.16,False
TXN000006,2786,2024-01-22,422.94,Adams-Flores,Dining,Taiwan,False,MasterCard,TWD,False,2024-01,13.53,False
TXN000007,1205,2024-01-15,129.11,"Bryant, Galvan and Parker",Electronics,Vietnam,False,MasterCard,VND,False,2024-01,0.01,False
TXN000008,1873,2024-03-31,204.21,Bell-Dean,Unknown,India,False,Visa,INR,False,2024-03,2.45,False
TXN000009,2104,2023-12-30,66.65,"Bradshaw, Cherry and Blackburn",Health,Taiwan,False,AmEx,TWD,False,2023-12,2.13,False
TXN000010,1960,2023-12-27,250.07,"White, Gonzalez and Gibson",Entertainment,USA,False,Visa,USD,False,2023-12,250.07,True
TXN000011,1984,2023-12-04,99.75,"Harper, Reynolds and Payne",Dining,Japan,True,AmEx,JPY,False,2023-12,0.7,False
TXN000012,1818,2024-01-26,18.02,Kim-Lawrence,Groceries,Vietnam,False,AmEx,VND,False,2024-01,0.0,False
TXN000013,2570,2024-02-23,114.51,Bell Inc,Electronics,Taiwan,True,MasterCard,TWD,False,2024-02,3.66,False
TXN000015,1075,2024-02-10,40.04,Brown LLC,Travel,Germany,False,AmEx,EUR,False,2024-02,44.04,False
TXN000016,2199,2024-05-31,2.69,"Bowers, Mendez and Gross",Travel,Vietnam,False,AmEx,VND,False,2024-05,0.0,False
TXN000017,1373,2024-03-14,84.68,"Daniels, Patterson and Scott",Travel,Germany,False,Visa,EUR,False,2024-03,93.15,False
TXN000018,1156,2024-01-04,16.41,Freeman-Peterson,Dining,India,False,MasterCard,INR,False,2024-01,0.2,False
TXN000019,1300,2024-04-01,37.46,Mills PLC,Travel,Taiwan,False,AmEx,TWD,False,2024-04,1.2,False
TXN000020,2368,2024-03-18,43.93,"Galloway, Garcia and Jacobson",Utilities,USA,False,MasterCard,USD,False,2024-03,43.93,False
TXN000021,2675,2024-01-20,82.86,"Stone, Smith and Brown",Clothing,Germany,False,AmEx,EUR,False,2024-01,91.15,False
TXN000022,1988,2024-02-23,37.49,Morgan and Sons,Electronics,UK,False,MasterCard,GBP,False,2024-02,48.74,False
TXN000023,2175,2024-01-24,60.47,Finley and Sons,Clothing,Taiwan,False,MasterCard,TWD,False,2024-01,1.94,False
TXN000024,2609,2024-03-26,235.27,"Moyer, Figueroa and Graham",Dining,Singapore,False,AmEx,SGD,False,2024-03,174.1,True
TXN000025,1782,2024-04-30,5.75,King and Sons,Dining,Taiwan,False,MasterCard,TWD,False,2024-04,0.18,False
TXN000026,1798,2024-04-25,80.38,Davis and Sons,Electronics,Germany,False,AmEx,EUR,False,2024-04,88.42,False
TXN000027,2936,2024-02-24,170.97,Gonzalez and Sons,Electronics,Taiwan,False,MasterCard,TWD,False,2024-02,5.47,False
TXN000028,2809,2024-01-08,133.14,Young Group,Groceries,USA,True,MasterCard,USD,False,2024-01,133.14,False
TXN000030,2995,2024-03-04,692.09,Jackson-Clark,Dining,Vietnam,True,AmEx,VND,False,2024-03,0.03,False
TXN000031,1292,2024-03-11,68.31,"Robinson, Mason and Allen",Travel,Taiwan,False,AmEx,TWD,False,2024-03,2.19,False
TXN000032,1889,2024-02-29,457.14,Johnson PLC,Electronics,Germany,False,Visa,EUR,False,2024-02,502.85,True
TXN000033,1176,2024-01-05,15.33,Erickson-Young,Dining,India,True,Visa,INR,False,2024-01,0.18,False
TXN000034,2199,2024-02-02,47.84,Hammond-Thompson,Travel,UK,False,Visa,GBP,False,2024-02,62.19,False
TXN000035,1770,2024-05-03,105.72,Holmes Inc,Utilities,UK,False,Visa,GBP,False,2024-05,137.44,False
TXN000036,1958,2023-12-28,29.61,Benjamin-Mills,Groceries,Germany,True,MasterCard,EUR,False,2023-12,32.57,False
TXN000037,2455,2024-03-23,228.52,"Duncan, Garcia and Mack",Health,Taiwan,False,AmEx,TWD,False,2024-03,7.31,False
TXN000038,1928,2024-01-18,18.97,Giles-Houston,Clothing,Singapore,False,MasterCard,SGD,False,2024-01,14.04,False
TXN000039,2787,2024-01-17,151.59,"Torres, Morton and Mitchell",Clothing,Germany,False,AmEx,EUR,False,2024-01,166.75,True
TXN000040,2940,2024-01-17,121.88,"King, Silva and Nunez",Travel,UK,False,AmEx,GBP,False,2024-01,158.44,False
TXN000041,2307,2024-03-16,84.46,Carlson-Logan,Dining,Japan,False,AmEx,JPY,False,2024-03,0.59,False
TXN000042,1962,2024-03-07,7.86,Madden-Smith,Clothing,USA,False,MasterCard,USD,False,2024-03,7.86,False
TXN000043,1014,2024-01-22,181.95,Garcia-Garcia,Groceries,Singapore,False,AmEx,SGD,False,2024-01,134.64,False
TXN000044,2278,2024-05-21,67.45,Kim LLC,Unknown,Vietnam,False,AmEx,VND,False,2024-05,0.0,False
TXN000045,2778,2024-04-02,113.68,Johnson-Sanders,Clothing,Vietnam,False,MasterCard,VND,False,2024-04,0.0,False
TXN000046,2668,2024-02-01,121.06,Larson PLC,Travel,Taiwan,False,MasterCard,TWD,False,2024-02,3.87,False
TXN000047,2797,2023-12-29,2.67,Tucker-Hogan,Electronics,Singapore,True,AmEx,SGD,False,2023-12,1.98,False
TXN000048,2538,2024-03-19,102.42,"Davis, Campbell and Wright",Health,Germany,False,MasterCard,EUR,False,2024-03,112.66,False
TXN000049,1135,2024-01-15,14.3,Cain Inc,Entertainment,India,False,AmEx,INR,False,2024-01,0.17,False
