transaction_id,customer_id,date,amount,merchant,category,country,is_international,card_type,currency,flagged
TXN000001,1844,2024-01-16,196.91,"Maldonado, Ballard and Alvarez",Entertainment,India,0,amex,INR,0
TXN000002,2404,2024-02-19,61.06,Young-Carlson,Travel,Singapore,1,Visa,SGD,0
TXN000003,1984,2024-02-08,1584.72,"Obrien, Fuller and Keller",dinning,Germany,1,AmEx,EUR,1
TXN000004,2994,2024-03-17,25.72,Rodriguez-Kelly,Entertainment,USA,0,Visa,USD,0
TXN000005,2725,2024-05-30,262.93,"Mcdonald, Nguyen and Sloan",Travel,India,0,MasterCard,INR,0
TXN000006,2786,2024-01-22,422.94,Adams-Flores,dinning,Taiwan,0,MasterCard,TWD,0
TXN000007,1205,2024-01-15,129.11,"Bryant, Galvan and Parker",Elec-tronics,Vietnam,0,Master Card,VND,0
TXN000008,1873,2024-03-31,204.21,Bell-Dean,,India,0,Visa,INR,0
TXN000009,2104,2023-12-30,66.65,"Bradshaw, Cherry and Blackburn",Health,Taiwan,0,AmEx,TWD,0
TXN000010,1960,2023-12-27,250.07,"White, Gonzalez and Gibson",Entertainment,USA,0,Visa,USD,0
TXN000011,1984,2023-12-04,99.75,"Harper, Reynolds and Payne",dinning,Japan,1,amex,JPY,0
TXN000012,1818,2024-01-26,18.02,Kim-Lawrence,grocerie,Vietnam,0,amex,VND,0
TXN000013,2570,2024-02-23,114.51,Bell Inc,Elec-tronics,Taiwan,1,MasterCard,TWD,0
TXN000014,2350,2010-07-15,24.55,"Morales, Solis and Pearson",dinning,USA,0,Visa,USD,0
TXN000015,1075,2024-02-10,40.04,Brown LLC,Travell,Germany,0,AmEx,EUR,0
TXN000016,2199,2024-05-31,2.69,"Bowers, Mendez and Gross",Travell,Vietnam,0,AmEx,VND,0
TXN000017,1373,2024-03-14,84.68,"Daniels, Patterson and Scott",Travel,Germany,0,Visa,EUR,0
TXN000018,1156,2024-01-04,16.41,Freeman-Peterson,Dining,India,0,MasterCard,INR,0
TXN000019,1300,2024-04-01,37.46,Mills PLC,Travel,Taiwan,0,AmEx,TWD,0
TXN000020,2368,2024-03-18,43.93,"Galloway, Garcia and Jacobson",Utilities,USA,0,Master Card,USD,0
TXN000021,2675,2024-01-20,82.86,"Stone, Smith and Brown",Clothing,Germany,0,amex,EUR,0
TXN000022,1988,2024-02-23,37.49,Morgan and Sons,Electronics,UK,0,MasterCard,GBP,0
TXN000023,2175,2024-01-24,60.47,Finley and Sons,Clothing,Taiwan,0,MasterCard,TWD,0
TXN000024,2609,2024-03-26,235.27,"Moyer, Figueroa and Graham",Dining,Singapore,0,AmEx,SGD,0
TXN000025,1782,2024-04-30,5.75,King and Sons,Dining,Taiwan,0,MasterCard,TWD,0
